syn_id,pre_pt_root_id,post_pt_root_id,syn_size,pre_syn_cell_type,pre_syn_clf_type,post_syn_cell_type,post_syn_clf_type,synapse_area,pre_area,post_area,pre_post_ratio,perimeter,circularity,mean_intensity,median_intensity,std_intensity,pre_post_distance,jaccard_index,pre_overlap,post_overlap,major_axis_length,minor_axis_length
289585481,864691135969042789,864691135491574503,7892,5P-IT,E,5P-IT,E,7303,2236,5067,0.44128675745016777,355.56349186104046,0.7259000719783648,137.247192,137.0,8.304456552577932,56.441472388504074,0.0,0.0,0.0,127.5172696437608,75.2581645800178
401191692,864691136176067334,864691135683790834,11716,23P,E,5P-NP,E,10915,6748,4167,1.6193904487640989,463.50461735799473,0.6384479169181284,130.38329185185185,130.0,8.70391601653937,69.475892708407,0.0,0.0,0.0,160.12037844861925,94.02774191240229
200617920,864691136100713589,864691136051146739,1004,MC,I,MC,I,2710,814,1896,0.4293248945147679,239.0304832720494,0.5960361157264192,119.76881185185185,117.0,8.775515654542408,36.59490453553861,0.0,0.0,0.0,83.08986148684353,43.882601535861845
148051082,864691135947457121,864691135578002693,3844,23P,E,5P-IT,E,6501,4446,2055,2.1635036496350364,351.56349186104046,0.660971130833605,131.22931733333334,130.0,8.452227280727682,48.56315702211624,0.0,0.0,0.0,112.02265608897692,82.88503301837002
447873738,864691136418890903,864691135741051243,14948,6P-IT,E,6P-IT,E,12226,9937,2289,4.341197029270424,498.7178207935911,0.6177097850738683,129.9686157037037,129.0,7.096401961820073,51.23563550784724,0.0,0.0,0.0,145.9254222702488,115.94917013677909
428498284,864691135940864422,864691135940624038,18816,23P,E,5P-IT,E,10558,4801,5757,0.8339412888657287,496.0731598529186,0.5391381468658673,128.35776237037038,128.0,7.850254075462137,66.09269458640169,0.0,0.0,0.0,161.56772776026853,91.31802859742886
400647076,864691136032381371,864691136031719099,640,6P-IT,E,6P-IT,E,7504,6122,1382,4.429811866859624,451.88939366884495,0.4617834810109913,134.95556029629628,135.0,6.149788331328335,73.28375273990196,0.0,0.0,0.0,140.25544556388422,91.5382468239201
255549396,864691135368087801,864691135367238905,7968,BC,I,5P-IT,E,12639,6320,6319,1.0001582528881152,510.2914139223983,0.6099385118492852,132.79925866666667,134.0,8.29389032329638,75.50300448626608,0.0,0.0,0.0,173.83080027465198,102.34506807543086
362130703,864691135865231230,864691136194648040,4580,6P-CT,E,6P-IT,E,10610,5666,4944,1.1460355987055015,502.2203461105329,0.5286115424581928,127.88888296296297,130.0,12.042617764992368,76.53775711499672,0.0,0.0,0.0,182.4889630018068,81.31331050741595
269684117,864691135916649318,864691134989526650,816,23P,E,23P,E,14454,4695,9759,0.481094374423609,581.9188309203678,0.5363806373402221,136.0224,138.0,13.31320065098297,69.02285039749859,0.0,0.0,0.0,153.51365622232143,143.7211913163339
212079084,864691135841391331,864691136806748782,5064,6P-IT,E,BC,I,15112,6071,9041,0.671496515872138,551.1787155501902,0.6250963055360401,134.93353244444444,134.0,6.515986619048113,79.07429322135411,0.0,0.0,0.0,181.34272867541137,116.18755487971453
24787580,864691136194345036,864691135841817571,17584,4P,E,23P,E,9778,6109,3669,1.6650313436903788,405.30360723121805,0.7479954548846658,128.3641125925926,128.0,8.067855657410117,51.23169279875439,0.0,0.0,0.0,129.47107958543387,100.10404889024075
44347594,864691135776615520,864691135490896487,3736,MC,I,23P,E,2366,1181,1185,0.9966244725738397,225.48023074035524,0.5848004029093948,127.77298962962963,127.0,8.565698375620912,37.91834966469882,0.0,0.0,0.0,88.77531096227327,36.81430288017845
394506395,864691135491800807,864691135156563300,3020,23P,E,BC,I,13482,10154,3328,3.051081730769231,580.6284630184961,0.5025364223902521,132.95257066666667,133.0,7.884008189049922,76.68238178770162,0.0,0.0,0.0,157.12133569323612,142.54724708173708
