,syn_id,pre_pt_root_id,post_pt_root_id,syn_size,pre_syn_cell_type,pre_syn_clf_type,post_syn_cell_type,post_syn_clf_type
0,289585481,864691135969042789,864691135491574503,7892,5P-IT,E,5P-IT,E
1,401191692,864691136176067334,864691135683790834,11716,23P,E,5P-NP,E
2,200617920,864691136100713589,864691136051146739,1004,MC,I,MC,I
3,148051082,864691135947457121,864691135578002693,3844,23P,E,5P-IT,E
4,447873738,864691136418890903,864691135741051243,14948,6P-IT,E,6P-IT,E
5,428498284,864691135940864422,864691135940624038,18816,23P,E,5P-IT,E
6,400647076,864691136032381371,864691136031719099,640,6P-IT,E,6P-IT,E
7,255549396,864691135368087801,864691135367238905,7968,BC,I,5P-IT,E
8,362130703,864691135865231230,864691136194648040,4580,6P-CT,E,6P-IT,E
9,269684117,864691135916649318,864691134989526650,816,23P,E,23P,E
10,212079084,864691135841391331,864691136806748782,5064,6P-IT,E,BC,I
11,24787580,864691136194345036,864691135841817571,17584,4P,E,23P,E
12,44347594,864691135776615520,864691135490896487,3736,MC,I,23P,E
13,394506395,864691135491800807,864691135156563300,3020,23P,E,BC,I
14,406612262,864691135475475264,864691136423382575,14564,4P,E,5P-IT,E
15,364846170,864691136378793685,864691135570107782,13136,MC,I,23P,E
16,292383608,864691135463704638,864691135755217613,15724,4P,E,5P-IT,E
17,222825420,864691135654838466,864691135754539469,3336,4P,E,5P-ET,E
18,346209499,864691136951607007,864691136032676027,600,4P,E,BC,I
19,396323753,864691136617102555,864691136362637026,2308,23P,E,23P,E
20,397462856,864691135699755668,864691135059435163,22188,23P,E,23P,E
21,454980436,864691136237150991,864691135502604866,13456,MC,I,MC,I
22,82854758,864691135725621055,864691135991490241,15008,6P-IT,E,6P-IT,E
23,273273543,864691136724550653,864691136443909251,3696,5P-ET,E,5P-ET,E
24,267472547,864691135953424586,864691136209567164,1400,6P-IT,E,6P-IT,E
25,486814038,864691136451484415,864691135754538189,372,BC,I,6P-CT,E
26,394992974,864691136195002344,864691135489177658,18140,6P-CT,E,BC,I
27,40686726,864691136065925528,864691135342065861,300,MC,I,5P-IT,E
28,32709123,864691135736904324,864691135355990223,2236,23P,E,23P,E
29,339516194,864691135386184021,864691135195395370,5700,6P-IT,E,6P-IT,E
30,421432122,864691135415453882,864691135704914580,1680,BC,I,23P,E
31,385587010,864691136391623039,864691135341318853,3824,5P-IT,E,BC,I
32,402316169,864691135953764616,864691136925981258,2188,6P-IT,E,BPC,I
33,67637494,864691135614876363,864691135478808518,35180,6P-CT,E,6P-CT,E
34,88347424,864691136041058134,864691136237089295,3912,23P,E,5P-IT,E
35,135090357,864691135270459557,864691137019799406,624,6P-CT,E,5P-NP,E
36,423240698,864691135100839712,864691135490482023,2636,23P,E,23P,E
37,148023059,864691135945431332,864691135065768260,716,5P-ET,E,6P-CT,E
38,372592074,864691135731105465,864691136137504893,16308,4P,E,5P-ET,E
39,418682189,864691135502605661,864691135341654961,2472,6P-IT,E,6P-IT,E
40,443805419,864691135463522461,864691136594874274,7864,23P,E,23P,E
41,419246865,864691136109714616,864691135640087611,1508,6P-IT,E,5P-ET,E
42,120492934,864691135661213936,864691135195468586,6520,6P-CT,E,BC,I
43,461373897,864691136116909732,864691136903957938,7160,BPC,I,6P-IT,E
44,329566289,864691136236717583,864691135618615695,24944,4P,E,4P,E
45,94643970,864691135783764019,864691136025061177,10976,23P,E,MC,I
46,228251398,864691136039792126,864691135013420694,4424,5P-IT,E,5P-ET,E
47,348445698,864691135683215090,864691135618187663,6708,6P-IT,E,6P-CT,E
48,223494095,864691136031787963,864691135113199769,596,6P-CT,E,5P-IT,E
49,356605347,864691135307769158,864691136109767608,5472,23P,E,23P,E
50,428682970,864691135472686130,864691136210050492,5592,6P-CT,E,6P-CT,E
51,70591781,864691135374117449,864691135490810471,1348,23P,E,4P,E
52,371684226,864691137197512257,864691136558228130,6516,4P,E,5P-IT,E
53,131431824,864691136195042380,864691135273136913,260,23P,E,4P,E
54,200458091,864691135698654485,864691136391834495,11640,5P-ET,E,BC,I
55,280214694,864691135941863284,864691135307441222,7024,6P-CT,E,6P-CT,E
56,173521116,864691134948839676,864691136009467054,2760,23P,E,23P,E
57,127416069,864691136117228196,864691135374609225,2804,23P,E,5P-IT,E
58,176740616,864691135516735187,864691136388563728,7580,5P-NP,E,BC,I
59,299021276,864691136176339718,864691135859702120,1736,23P,E,MC,I
60,465663500,864691135495175312,864691135304584359,3648,4P,E,MC,I
61,107388049,864691135182539778,864691135502864565,2000,BC,I,6P-IT,E
62,476603462,864691135447060308,864691135988412874,13656,6P-IT,E,BC,I
63,293685019,864691136228713297,864691135577828357,10332,23P,E,6P-IT,E
64,140462157,864691135741482603,864691135585157244,3208,4P,E,4P,E
65,496550766,864691136297667355,864691135349287127,6196,23P,E,6P-IT,E
66,345343821,864691135123287847,864691135859043944,12840,23P,E,23P,E
